Bdistachyon_Bradi4g09788.1.p	0c69e7fb78c1a3e89dd298b05a9ab5fc	1213	SUPERFAMILY	SSF52058		1081	1191	3.85E-11	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_5BL_TGACv1_407442_AA1356960.1	0f5835547d30f3d6212dc47eabdc0e93	1454	Coils	Coil		153	173	-	T	31-05-2017
Taestivum_TRIAE_CS42_5BL_TGACv1_407442_AA1356960.1	0f5835547d30f3d6212dc47eabdc0e93	1454	Pfam	PF03514	GRAS domain family	1085	1453	3.5E-129	T	31-05-2017	IPR005202	Transcription factor GRAS
Taestivum_TRIAE_CS42_5BL_TGACv1_407442_AA1356960.1	0f5835547d30f3d6212dc47eabdc0e93	1454	Pfam	PF00931	NB-ARC domain	333	613	1.2E-50	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_5BL_TGACv1_407442_AA1356960.1	0f5835547d30f3d6212dc47eabdc0e93	1454	ProSiteProfiles	PS50985	GRAS family profile.	1059	1435	67.781	T	31-05-2017	IPR005202	Transcription factor GRAS
Taestivum_TRIAE_CS42_5BL_TGACv1_407442_AA1356960.1	0f5835547d30f3d6212dc47eabdc0e93	1454	SUPERFAMILY	SSF52540		331	587	1.34E-51	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_5BL_TGACv1_407442_AA1356960.1	0f5835547d30f3d6212dc47eabdc0e93	1454	SUPERFAMILY	SSF52058		652	1027	5.1E-21	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_7AS_TGACv1_570749_AA1840470.1	647560d515dbc3aacdc8e7d93e5be04f	1357	SUPERFAMILY	SSF52058		538	903	3.23E-18	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_7AS_TGACv1_570749_AA1840470.1	647560d515dbc3aacdc8e7d93e5be04f	1357	Pfam	PF00931	NB-ARC domain	215	498	3.4E-45	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_7AS_TGACv1_570749_AA1840470.1	647560d515dbc3aacdc8e7d93e5be04f	1357	Pfam	PF01344	Kelch motif	1149	1191	1.1E-11	T	31-05-2017	IPR006652	Kelch repeat type 1
Taestivum_TRIAE_CS42_7AS_TGACv1_570749_AA1840470.1	647560d515dbc3aacdc8e7d93e5be04f	1357	Pfam	PF01344	Kelch motif	1193	1238	1.0E-5	T	31-05-2017	IPR006652	Kelch repeat type 1
Taestivum_TRIAE_CS42_7AS_TGACv1_570749_AA1840470.1	647560d515dbc3aacdc8e7d93e5be04f	1357	SUPERFAMILY	SSF117281		1066	1326	1.7E-45	T	31-05-2017
Taestivum_TRIAE_CS42_7AS_TGACv1_570749_AA1840470.1	647560d515dbc3aacdc8e7d93e5be04f	1357	SUPERFAMILY	SSF52540		212	472	9.08E-51	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	SUPERFAMILY	SSF52058		453	815	1.56E-10	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	SUPERFAMILY	SSF56112		962	1210	3.55E-40	T	31-05-2017	IPR011009	Protein kinase-like domain
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	Pfam	PF07714	Protein tyrosine kinase	1258	1375	2.5E-12	T	31-05-2017	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	Pfam	PF07714	Protein tyrosine kinase	1122	1210	1.7E-5	T	31-05-2017	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	Pfam	PF07714	Protein tyrosine kinase	994	1117	1.7E-13	T	31-05-2017	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	Pfam	PF00931	NB-ARC domain	137	413	5.8E-50	T	31-05-2017	IPR002182	NB-ARC
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	ProSiteProfiles	PS50011	Protein kinase domain profile.	932	1214	18.69	T	31-05-2017	IPR000719	Protein kinase domain
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1088	1100	-	T	31-05-2017	IPR008271	Serine/threonine-protein kinase, active site
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	SUPERFAMILY	SSF52540		130	388	6.14E-49	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	ProSiteProfiles	PS50011	Protein kinase domain profile.	1255	1512	14.026	T	31-05-2017	IPR000719	Protein kinase domain
Atauschii_EMT23656	cf59aef0f5db8a9f60e382de3d797c31	1776	SUPERFAMILY	SSF56112		1235	1508	5.48E-32	T	31-05-2017	IPR011009	Protein kinase-like domain
Atauschii_EMT18865	6191db60058da0215c95d91eaca7c3e7	1311	Coils	Coil		37	57	-	T	31-05-2017
Atauschii_EMT18865	6191db60058da0215c95d91eaca7c3e7	1311	SUPERFAMILY	SSF56112		1115	1282	3.42E-49	T	31-05-2017	IPR011009	Protein kinase-like domain
Atauschii_EMT18865	6191db60058da0215c95d91eaca7c3e7	1311	SUPERFAMILY	SSF52058		497	888	2.38E-21	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Atauschii_EMT18865	6191db60058da0215c95d91eaca7c3e7	1311	ProSiteProfiles	PS50011	Protein kinase domain profile.	1129	1311	32.004	T	31-05-2017	IPR000719	Protein kinase domain
Atauschii_EMT18865	6191db60058da0215c95d91eaca7c3e7	1311	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1250	1262	-	T	31-05-2017	IPR008271	Serine/threonine-protein kinase, active site
Atauschii_EMT18865	6191db60058da0215c95d91eaca7c3e7	1311	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1135	1158	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Atauschii_EMT18865	6191db60058da0215c95d91eaca7c3e7	1311	SUPERFAMILY	SSF52540		167	432	1.88E-47	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Atauschii_EMT18865	6191db60058da0215c95d91eaca7c3e7	1311	Pfam	PF00931	NB-ARC domain	179	459	1.7E-50	T	31-05-2017	IPR002182	NB-ARC
Atauschii_EMT18865	6191db60058da0215c95d91eaca7c3e7	1311	Pfam	PF00069	Protein kinase domain	1130	1281	2.0E-41	T	31-05-2017	IPR000719	Protein kinase domain
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	Pfam	PF00931	NB-ARC domain	182	464	1.8E-51	T	31-05-2017	IPR002182	NB-ARC
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1377	1401	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1493	1505	-	T	31-05-2017	IPR008271	Serine/threonine-protein kinase, active site
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	SUPERFAMILY	SSF56112		1009	1294	9.83E-47	T	31-05-2017	IPR011009	Protein kinase-like domain
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	SUPERFAMILY	SSF52058		502	885	1.87E-24	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	ProSitePatterns	PS01351	MAP kinase signature.	1406	1509	-	T	31-05-2017	IPR003527	Mitogen-activated protein (MAP) kinase, conserved site
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	ProSiteProfiles	PS50011	Protein kinase domain profile.	1022	1297	24.838	T	31-05-2017	IPR000719	Protein kinase domain
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	ProSiteProfiles	PS50011	Protein kinase domain profile.	1371	1658	45.064	T	31-05-2017	IPR000719	Protein kinase domain
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	Pfam	PF00069	Protein kinase domain	1032	1290	4.2E-25	T	31-05-2017	IPR000719	Protein kinase domain
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	Pfam	PF00069	Protein kinase domain	1372	1658	6.2E-68	T	31-05-2017	IPR000719	Protein kinase domain
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	SUPERFAMILY	SSF52540		171	437	5.77E-49	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Bdistachyon_Bradi4g24914.1.p	d06c1d63df727d2b3b406965f9df5ec2	1708	SUPERFAMILY	SSF56112		1363	1665	7.96E-97	T	31-05-2017	IPR011009	Protein kinase-like domain
Taestivum_TRIAE_CS42_4AL_TGACv1_288220_AA0941010.1	461ac33de3f218fae57e130f45487c3a	1525	Pfam	PF01344	Kelch motif	1362	1407	5.5E-6	T	31-05-2017	IPR006652	Kelch repeat type 1
Taestivum_TRIAE_CS42_4AL_TGACv1_288220_AA0941010.1	461ac33de3f218fae57e130f45487c3a	1525	Pfam	PF01344	Kelch motif	1314	1360	1.3E-14	T	31-05-2017	IPR006652	Kelch repeat type 1
Taestivum_TRIAE_CS42_4AL_TGACv1_288220_AA0941010.1	461ac33de3f218fae57e130f45487c3a	1525	SUPERFAMILY	SSF52540		392	648	9.76E-53	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_4AL_TGACv1_288220_AA0941010.1	461ac33de3f218fae57e130f45487c3a	1525	SUPERFAMILY	SSF117281		1238	1501	3.27E-47	T	31-05-2017
Taestivum_TRIAE_CS42_4AL_TGACv1_288220_AA0941010.1	461ac33de3f218fae57e130f45487c3a	1525	Pfam	PF00931	NB-ARC domain	397	676	1.0E-52	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_4AL_TGACv1_288220_AA0941010.1	461ac33de3f218fae57e130f45487c3a	1525	SUPERFAMILY	SSF52833		48	121	1.36E-8	T	31-05-2017	IPR012336	Thioredoxin-like fold
Taestivum_TRIAE_CS42_4AL_TGACv1_288220_AA0941010.1	461ac33de3f218fae57e130f45487c3a	1525	ProSiteProfiles	PS51354	Glutaredoxin domain profile.	15	125	12.783	T	31-05-2017	IPR002109	Glutaredoxin
Taestivum_TRIAE_CS42_4AL_TGACv1_288220_AA0941010.1	461ac33de3f218fae57e130f45487c3a	1525	SUPERFAMILY	SSF52058		715	1075	6.12E-15	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSiteProfiles	PS51450	Leucine-rich repeat profile.	895	916	7.088	T	31-05-2017	IPR001611	Leucine-rich repeat
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1349	1372	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	Pfam	PF13499	EF-hand domain pair	1649	1708	5.2E-10	T	31-05-2017	IPR002048	EF-hand domain
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	Pfam	PF13499	EF-hand domain pair	1720	1779	2.0E-10	T	31-05-2017	IPR002048	EF-hand domain
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	1763	1775	-	T	31-05-2017	IPR018247	EF-Hand 1, calcium-binding site
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSiteProfiles	PS50222	EF-hand calcium-binding domain profile.	1644	1679	14.792	T	31-05-2017	IPR002048	EF-hand domain
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	SUPERFAMILY	SSF52540		394	681	3.33E-50	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSiteProfiles	PS50222	EF-hand calcium-binding domain profile.	1680	1715	9.297	T	31-05-2017	IPR002048	EF-hand domain
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	Pfam	PF00069	Protein kinase domain	1344	1601	1.3E-65	T	31-05-2017	IPR000719	Protein kinase domain
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSiteProfiles	PS51450	Leucine-rich repeat profile.	848	869	4.801	T	31-05-2017	IPR001611	Leucine-rich repeat
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	SUPERFAMILY	SSF56112		1343	1616	1.48E-77	T	31-05-2017	IPR011009	Protein kinase-like domain
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	SUPERFAMILY	SSF52058		744	1114	8.67E-22	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSiteProfiles	PS50222	EF-hand calcium-binding domain profile.	1716	1751	14.541	T	31-05-2017	IPR002048	EF-hand domain
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSiteProfiles	PS50011	Protein kinase domain profile.	1343	1601	43.439	T	31-05-2017	IPR000719	Protein kinase domain
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	Coils	Coil		268	288	-	T	31-05-2017
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	1657	1669	-	T	31-05-2017	IPR018247	EF-Hand 1, calcium-binding site
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	Pfam	PF00931	NB-ARC domain	428	707	1.3E-43	T	31-05-2017	IPR002182	NB-ARC
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1463	1475	-	T	31-05-2017	IPR008271	Serine/threonine-protein kinase, active site
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	1729	1741	-	T	31-05-2017	IPR018247	EF-Hand 1, calcium-binding site
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSiteProfiles	PS50222	EF-hand calcium-binding domain profile.	1752	1785	11.64	T	31-05-2017	IPR002048	EF-hand domain
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	SUPERFAMILY	SSF47473		1641	1780	5.66E-44	T	31-05-2017	IPR011992	EF-hand domain pair
Turartu_TRIUR3_06382-P1	4ee3433736dd432723e4de3d930b7b4d	1856	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	1693	1705	-	T	31-05-2017	IPR018247	EF-Hand 1, calcium-binding site
Taestivum_TRIAE_CS42_7AS_TGACv1_570940_AA1842770.1	9eeeaf6e05ec53f12a25ae721ec2750f	1089	Pfam	PF00931	NB-ARC domain	170	447	8.0E-52	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_7AS_TGACv1_570940_AA1842770.1	9eeeaf6e05ec53f12a25ae721ec2750f	1089	SUPERFAMILY	SSF52540		155	421	1.9E-54	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_7AS_TGACv1_570940_AA1842770.1	9eeeaf6e05ec53f12a25ae721ec2750f	1089	SUPERFAMILY	SSF52058		486	862	1.87E-14	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_7AS_TGACv1_570940_AA1842770.1	9eeeaf6e05ec53f12a25ae721ec2750f	1089	Coils	Coil		904	924	-	T	31-05-2017
Atauschii_EMT23655	eadc685a00729abcdeb8db279cb086c3	1510	SUPERFAMILY	SSF52058		692	1068	1.67E-11	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Atauschii_EMT23655	eadc685a00729abcdeb8db279cb086c3	1510	SUPERFAMILY	SSF52833		17	112	8.5E-9	T	31-05-2017	IPR012336	Thioredoxin-like fold
Atauschii_EMT23655	eadc685a00729abcdeb8db279cb086c3	1510	Pfam	PF00931	NB-ARC domain	388	667	1.8E-49	T	31-05-2017	IPR002182	NB-ARC
Atauschii_EMT23655	eadc685a00729abcdeb8db279cb086c3	1510	SUPERFAMILY	SSF52540		383	640	2.95E-52	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Atauschii_EMT23655	eadc685a00729abcdeb8db279cb086c3	1510	SUPERFAMILY	SSF117281		1234	1481	2.48E-43	T	31-05-2017
Atauschii_EMT23655	eadc685a00729abcdeb8db279cb086c3	1510	Pfam	PF01344	Kelch motif	1347	1392	4.9E-5	T	31-05-2017	IPR006652	Kelch repeat type 1
Atauschii_EMT23655	eadc685a00729abcdeb8db279cb086c3	1510	Pfam	PF01344	Kelch motif	1298	1344	4.5E-12	T	31-05-2017	IPR006652	Kelch repeat type 1
Atauschii_EMT23655	eadc685a00729abcdeb8db279cb086c3	1510	ProSitePatterns	PS00028	Zinc finger C2H2 type domain signature.	774	795	-	T	31-05-2017	IPR007087	Zinc finger, C2H2
Atauschii_EMT23655	eadc685a00729abcdeb8db279cb086c3	1510	ProSiteProfiles	PS51354	Glutaredoxin domain profile.	6	116	13.171	T	31-05-2017	IPR002109	Glutaredoxin
Osativa_LOC_Os10g22484.1	a0caafff88530c06956aa2bca829767e	1297	Pfam	PF00931	NB-ARC domain	186	466	3.2E-49	T	31-05-2017	IPR002182	NB-ARC
Osativa_LOC_Os10g22484.1	a0caafff88530c06956aa2bca829767e	1297	SUPERFAMILY	SSF52058		505	894	4.08E-17	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Osativa_LOC_Os10g22484.1	a0caafff88530c06956aa2bca829767e	1297	SUPERFAMILY	SSF52540		170	440	4.3E-52	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Bdistachyon_Bradi1g51961.1.p	f02b47f911ad41100949556e427429a0	1271	ProSiteProfiles	PS51294	Myb-type HTH DNA-binding domain profile.	65	119	25.07	T	31-05-2017	IPR017930	Myb domain
Bdistachyon_Bradi1g51961.1.p	f02b47f911ad41100949556e427429a0	1271	Pfam	PF00249	Myb-like DNA-binding domain	70	115	2.5E-14	T	31-05-2017	IPR001005	SANT/Myb domain
Bdistachyon_Bradi1g51961.1.p	f02b47f911ad41100949556e427429a0	1271	Pfam	PF00249	Myb-like DNA-binding domain	17	63	4.5E-17	T	31-05-2017	IPR001005	SANT/Myb domain
Bdistachyon_Bradi1g51961.1.p	f02b47f911ad41100949556e427429a0	1271	SUPERFAMILY	SSF46689		15	111	6.25E-29	T	31-05-2017	IPR009057	Homeodomain-like
Bdistachyon_Bradi1g51961.1.p	f02b47f911ad41100949556e427429a0	1271	Pfam	PF00931	NB-ARC domain	501	769	3.0E-50	T	31-05-2017	IPR002182	NB-ARC
Bdistachyon_Bradi1g51961.1.p	f02b47f911ad41100949556e427429a0	1271	ProSiteProfiles	PS51294	Myb-type HTH DNA-binding domain profile.	12	64	17.272	T	31-05-2017	IPR017930	Myb domain
Bdistachyon_Bradi1g51961.1.p	f02b47f911ad41100949556e427429a0	1271	SUPERFAMILY	SSF52058		814	1199	1.58E-18	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi1g51961.1.p	f02b47f911ad41100949556e427429a0	1271	SUPERFAMILY	SSF52540		470	745	4.96E-52	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Osativa_LOC_Os11g11810.1	92bd349494955c83bfa0bec547e6accb	1301	Coils	Coil		903	923	-	T	31-05-2017
Osativa_LOC_Os11g11810.1	92bd349494955c83bfa0bec547e6accb	1301	Pfam	PF00931	NB-ARC domain	181	464	6.3E-46	T	31-05-2017	IPR002182	NB-ARC
Osativa_LOC_Os11g11810.1	92bd349494955c83bfa0bec547e6accb	1301	SUPERFAMILY	SSF52058		500	895	1.19E-24	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Osativa_LOC_Os11g11810.1	92bd349494955c83bfa0bec547e6accb	1301	SUPERFAMILY	SSF52540		168	436	1.87E-49	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Osativa_LOC_Os11g11810.1	92bd349494955c83bfa0bec547e6accb	1301	SUPERFAMILY	SSF52058		1109	1196	9.18E-12	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi4g10450.1.p	51251dff30756e49a7abed88f0b27f6e	1648	SUPERFAMILY	SSF52058		523	936	8.5E-17	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi4g10450.1.p	51251dff30756e49a7abed88f0b27f6e	1648	SUPERFAMILY	SSF56112		1326	1613	9.29E-74	T	31-05-2017	IPR011009	Protein kinase-like domain
Bdistachyon_Bradi4g10450.1.p	51251dff30756e49a7abed88f0b27f6e	1648	SUPERFAMILY	SSF52540		200	456	5.7E-46	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Bdistachyon_Bradi4g10450.1.p	51251dff30756e49a7abed88f0b27f6e	1648	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1464	1476	-	T	31-05-2017	IPR008271	Serine/threonine-protein kinase, active site
Bdistachyon_Bradi4g10450.1.p	51251dff30756e49a7abed88f0b27f6e	1648	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1351	1373	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Bdistachyon_Bradi4g10450.1.p	51251dff30756e49a7abed88f0b27f6e	1648	Pfam	PF00931	NB-ARC domain	204	482	1.1E-45	T	31-05-2017	IPR002182	NB-ARC
Bdistachyon_Bradi4g10450.1.p	51251dff30756e49a7abed88f0b27f6e	1648	Pfam	PF00069	Protein kinase domain	1346	1611	1.2E-40	T	31-05-2017	IPR000719	Protein kinase domain
Bdistachyon_Bradi4g10450.1.p	51251dff30756e49a7abed88f0b27f6e	1648	ProSiteProfiles	PS50011	Protein kinase domain profile.	1345	1614	35.962	T	31-05-2017	IPR000719	Protein kinase domain
Turartu_TRIUR3_02413-P1	96ad06a2bfc1a1657b21b3894e91de45	1439	SUPERFAMILY	SSF56112		1092	1398	2.19E-78	T	31-05-2017	IPR011009	Protein kinase-like domain
Turartu_TRIUR3_02413-P1	96ad06a2bfc1a1657b21b3894e91de45	1439	SUPERFAMILY	SSF52540		175	441	9.06E-49	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Turartu_TRIUR3_02413-P1	96ad06a2bfc1a1657b21b3894e91de45	1439	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1123	1156	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Turartu_TRIUR3_02413-P1	96ad06a2bfc1a1657b21b3894e91de45	1439	ProSiteProfiles	PS50011	Protein kinase domain profile.	1117	1400	37.149	T	31-05-2017	IPR000719	Protein kinase domain
Turartu_TRIUR3_02413-P1	96ad06a2bfc1a1657b21b3894e91de45	1439	Pfam	PF00069	Protein kinase domain	1120	1394	1.4E-42	T	31-05-2017	IPR000719	Protein kinase domain
Turartu_TRIUR3_02413-P1	96ad06a2bfc1a1657b21b3894e91de45	1439	SUPERFAMILY	SSF52058		527	863	6.8E-21	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Turartu_TRIUR3_02413-P1	96ad06a2bfc1a1657b21b3894e91de45	1439	Pfam	PF00931	NB-ARC domain	196	467	3.3E-45	T	31-05-2017	IPR002182	NB-ARC
Hvulgare_AK369515	90b63634718f12371ce6ce2e034d97e6	1371	ProSiteProfiles	PS50011	Protein kinase domain profile.	58	336	27.411	T	31-05-2017	IPR000719	Protein kinase domain
